Date,Open,High,Low,Close,Volume
5/8/2024 16:00:00,0.77,0.81,0.73,0.76,4245939
5/9/2024 16:00:00,0.76,0.77,0.72,0.75,1682721
5/10/2024 16:00:00,0.75,0.76,0.73,0.74,1049955
5/13/2024 16:00:00,0.74,0.75,0.71,0.72,1362935
5/14/2024 16:00:00,0.72,0.75,0.71,0.73,2608330
5/15/2024 16:00:00,0.75,0.76,0.71,0.74,1988593
5/16/2024 16:00:00,0.74,0.75,0.72,0.73,1211387
5/17/2024 16:00:00,0.74,0.75,0.69,0.69,972256
5/20/2024 16:00:00,0.71,0.73,0.66,0.68,944601
5/21/2024 16:00:00,0.69,0.71,0.67,0.67,1119187
5/22/2024 16:00:00,0.69,0.69,0.63,0.64,1493880
5/23/2024 16:00:00,0.64,0.65,0.62,0.64,1022815
5/24/2024 16:00:00,0.64,0.65,0.6,0.62,1344898
5/28/2024 16:00:00,0.62,0.64,0.59,0.59,1647587
5/29/2024 16:00:00,0.59,0.6,0.56,0.58,1129409
5/30/2024 16:00:00,0.59,0.6,0.57,0.58,531458
5/31/2024 16:00:00,0.57,0.61,0.57,0.59,865704
6/3/2024 16:00:00,0.6,0.62,0.58,0.58,829306
6/4/2024 16:00:00,0.58,0.6,0.55,0.55,1018819
6/5/2024 16:00:00,0.56,0.58,0.55,0.57,862298
6/6/2024 16:00:00,0.58,0.63,0.57,0.6,1126071
6/7/2024 16:00:00,0.6,0.63,0.54,0.55,1100710
6/10/2024 16:00:00,0.57,0.58,0.5,0.52,2199519
6/11/2024 16:00:00,0.52,0.53,0.51,0.51,1825566
6/12/2024 16:00:00,0.52,0.55,0.52,0.52,1153951
6/13/2024 16:00:00,0.53,0.53,0.51,0.52,945358
6/14/2024 16:00:00,0.52,0.53,0.51,0.52,731761
6/17/2024 16:00:00,0.53,0.64,0.52,0.52,15763298
6/18/2024 16:00:00,0.59,0.6,0.53,0.54,4436079
6/20/2024 16:00:00,0.55,0.58,0.55,0.57,916552
6/21/2024 16:00:00,0.6,0.72,0.6,0.65,11652013
6/24/2024 16:00:00,0.66,0.84,0.66,0.83,4684087
6/25/2024 16:00:00,0.92,1.09,0.88,1.01,15444185
6/26/2024 16:00:00,1,1.02,0.86,0.94,4266686
6/27/2024 16:00:00,0.92,1.06,0.87,0.95,2531940
6/28/2024 16:00:00,0.94,0.96,0.89,0.9,1309904
7/1/2024 16:00:00,0.91,0.95,0.89,0.95,1202541
7/2/2024 16:00:00,0.95,1.02,0.92,0.96,1648064
7/3/2024 13:05:00,0.99,1.03,0.91,1.03,1368044
7/5/2024 16:00:00,1,1.08,1,1.08,1587537
7/8/2024 16:00:00,1.08,1.16,1.04,1.16,1785624
7/9/2024 16:00:00,1.17,1.2,1.1,1.2,2244132
7/10/2024 16:00:00,1.2,1.29,1.13,1.17,2554738
7/11/2024 16:00:00,1.19,1.37,1.16,1.23,3215013
7/12/2024 16:00:00,1.29,1.33,1.16,1.17,1633571
7/15/2024 16:00:00,1.21,1.21,1.12,1.18,1924143
7/16/2024 16:00:00,1.19,1.33,1.19,1.25,4316263
7/17/2024 16:00:00,1.27,1.32,1.08,1.09,2708909
7/18/2024 16:00:00,1.07,1.19,1.03,1.05,1543635
7/19/2024 16:00:00,1.03,1.08,1.02,1.03,787848
7/22/2024 16:00:00,1.02,1.08,1.02,1.06,531083
7/23/2024 16:00:00,1.04,1.09,1.02,1.07,424566
7/24/2024 16:00:00,1.06,1.15,1.05,1.07,808276
7/25/2024 16:00:00,1.06,1.14,1.06,1.09,467044
7/26/2024 16:00:00,1.09,1.14,1.07,1.12,703805
7/29/2024 16:00:00,1.12,1.12,1,1.02,1325487
7/30/2024 16:00:00,1.03,1.07,0.9,0.95,2117623
7/31/2024 16:00:00,0.96,1,0.9,0.9,965931
8/1/2024 16:00:00,0.91,0.98,0.87,0.88,2269396
8/2/2024 16:00:00,0.87,0.97,0.84,0.89,1111086
8/5/2024 16:00:00,0.81,0.85,0.77,0.79,2013143
8/6/2024 16:00:00,0.85,0.93,0.81,0.83,1322731
8/7/2024 16:00:00,0.84,0.9,0.81,0.81,551384
8/8/2024 16:00:00,0.82,0.84,0.78,0.82,506829
8/9/2024 16:00:00,0.85,0.9,0.79,0.79,592765
8/12/2024 16:00:00,0.8,0.85,0.78,0.8,598179
8/13/2024 16:00:00,0.83,0.89,0.81,0.83,665781
8/14/2024 16:00:00,0.85,0.86,0.79,0.83,884532
8/15/2024 16:00:00,0.83,0.87,0.82,0.82,688078
8/16/2024 16:00:00,0.82,0.86,0.81,0.85,554014
8/19/2024 16:00:00,0.86,0.94,0.85,0.93,1574469
8/20/2024 16:00:00,0.91,0.93,0.88,0.93,508236
8/21/2024 16:00:00,0.91,0.97,0.9,0.94,746020
8/22/2024 16:00:00,0.93,0.95,0.87,0.89,634999
8/23/2024 16:00:00,0.9,0.93,0.87,0.91,477449
8/26/2024 16:00:00,0.89,0.95,0.89,0.92,804269
8/27/2024 16:00:00,0.94,0.95,0.89,0.91,558657
8/28/2024 16:00:00,0.91,0.93,0.86,0.88,663241
8/29/2024 16:00:00,0.89,0.91,0.82,0.86,1018560
8/30/2024 16:00:00,0.88,0.89,0.83,0.88,591416
9/3/2024 16:00:00,0.85,0.93,0.85,0.87,1240148
9/4/2024 16:00:00,0.89,0.89,0.84,0.86,630589
9/5/2024 16:00:00,0.86,0.97,0.83,0.96,2095932
9/6/2024 16:00:00,0.97,0.98,0.87,0.91,768805
9/9/2024 16:00:00,0.92,0.97,0.9,0.93,540530
9/10/2024 16:00:00,0.92,0.95,0.89,0.92,428727
9/11/2024 16:00:00,0.91,0.94,0.88,0.89,535126
9/12/2024 16:00:00,0.88,0.91,0.85,0.88,1505425
9/13/2024 16:00:00,0.88,0.93,0.86,0.92,611675
9/16/2024 16:00:00,0.95,0.95,0.88,0.91,630800
9/17/2024 16:00:00,0.92,0.94,0.89,0.9,598560
9/18/2024 16:00:00,0.9,0.97,0.87,0.91,842868
9/19/2024 16:00:00,0.94,0.98,0.9,0.96,642706
9/20/2024 16:00:00,0.96,1.07,0.93,1.05,2393928
9/23/2024 16:00:00,1.11,1.11,0.98,1,1556994
9/24/2024 16:00:00,0.99,1.03,0.98,0.99,563521
9/25/2024 16:00:00,1,1.02,0.98,0.98,555984
9/26/2024 16:00:00,0.98,0.99,0.94,0.95,799423
9/27/2024 16:00:00,0.95,1,0.94,0.96,871912
9/30/2024 16:00:00,0.98,1,0.97,0.99,544979
10/1/2024 16:00:00,0.97,1.06,0.96,1.05,2194298
10/2/2024 16:00:00,1.05,1.07,1,1.05,484874
10/3/2024 16:00:00,1.03,1.04,0.98,1.01,2111332
10/4/2024 16:00:00,1.02,1.09,1,1.07,1377427
10/7/2024 16:00:00,1.05,1.07,1.04,1.05,414691
10/8/2024 16:00:00,1.05,1.06,1.01,1.02,604084
10/9/2024 16:00:00,1.03,1.05,0.98,1.01,880547
10/10/2024 16:00:00,1.01,1.01,0.97,0.98,296887
10/11/2024 16:00:00,0.98,0.98,0.93,0.97,745165
10/14/2024 16:00:00,0.95,0.98,0.94,0.94,669676
10/15/2024 16:00:00,0.94,0.98,0.94,0.97,446691
10/16/2024 16:00:00,0.97,0.98,0.95,0.97,429805
10/17/2024 16:00:00,0.96,0.98,0.95,0.96,268291
10/18/2024 16:00:00,0.96,0.98,0.94,0.96,834474
10/21/2024 16:00:00,0.95,0.97,0.91,0.92,901303
10/22/2024 16:00:00,0.91,0.93,0.86,0.89,953619
10/23/2024 16:00:00,0.9,0.91,0.85,0.89,986946
10/24/2024 16:00:00,0.89,0.91,0.87,0.9,596484
10/25/2024 16:00:00,0.91,0.96,0.87,0.94,531510
10/28/2024 16:00:00,0.94,0.96,0.89,0.92,634093
10/29/2024 16:00:00,0.94,0.94,0.9,0.91,273759
10/30/2024 16:00:00,0.91,0.93,0.88,0.9,730644
